file,function,lineno,end_lineno,section,has_doc,doc_first,com_calls,file_ops,win_ops,try_count,bare_except,return_kinds
library/cad_annotation.py,vtpnt,27,29,,1,将三维坐标转换为VARIANT类型,,,,0,0,object
library/cad_annotation.py,write_cad_text,35,79,&&&% 单行文字操作,1,在CAD中写入单行文字,AddText,,,1,0,"NoneType,object"
library/cad_annotation.py,write_mtext,83,120,&&&% 多行文字操作,1,在CAD中写入多行文字,AddMText,,,1,0,"NoneType,object"
library/cad_annotation.py,add_dim_aligned,125,146,&&% 对齐标注,1,添加对齐标注,,,,1,0,"NoneType,object"
library/cad_annotation.py,add_dim_rotated,149,172,&&% 旋转标注,1,添加旋转标注,,,,1,0,"NoneType,object"
library/cad_annotation.py,add_dim_angular,175,198,&&% 角度标注,1,【新增】添加角度标注,,,,1,0,"NoneType,object"
library/cad_annotation.py,add_dim_radial,201,222,&&% 半径标注,1,【新增】添加半径标注,,,,1,0,"NoneType,object"
library/cad_annotation.py,add_dim_diametric,225,246,&&% 直径标注,1,【新增】添加直径标注,,,,1,0,"NoneType,object"
library/cad_annotation.py,add_leader,251,277,&&% 添加引线,1,添加引线,,,,1,0,"NoneType,object"
library/cad_annotation.py,get_text_content,279,301,&&% 添加引线,1,获取文字对象的内容,,,,1,0,"NoneType,object"
library/cad_annotation.py,set_text_content,303,325,&&% 添加引线,1,设置文字对象的内容,,,,1,0,bool
library/cad_annotation.py,get_text_height,327,341,&&% 添加引线,1,获取文字高度,,,,1,0,"NoneType,object"
library/cad_annotation.py,set_text_height,343,359,&&% 添加引线,1,设置文字高度,,,,1,0,bool
library/cad_annotation.py,get_text_rotation,364,378,&&% 获取文字旋转角度,1,【新增】获取文字旋转角度,,,,1,0,"NoneType,object"
library/cad_annotation.py,set_text_rotation,381,397,&&% 设置文字旋转角度,1,【新增】设置文字旋转角度,,,,1,0,bool
library/cad_annotation.py,batch_modify_text,400,423,&&% 批量修改文字,1,【新增】批量修改文字属性,,,,1,0,object
library/cad_annotation.py,create_table,428,453,&&% 创建表格,1,【新增】创建表格,,,,1,0,"NoneType,object"
library/cad_annotation.py,set_table_cell_text,456,474,&&% 设置表格单元格文字,1,【新增】设置表格单元格文字,,,,1,0,bool
library/cad_annotation.py,get_table_cell_text,477,493,&&% 获取表格单元格文字,1,【新增】获取表格单元格文字,,,,1,0,"NoneType,object"
library/cad_blocks.py,get_block_name,40,46,&&% 获取块实例块名,1,获取块名，兼容动态块(EffectiveName),,,,1,1,object
library/cad_blocks.py,huoqukuai_shuxing_zhi,50,69,&&% 获取块属性值,0,,GetAttributes,,,0,0,tuple
library/cad_blocks.py,update_block_def_attributes_safe,75,240,&&% 属性块标签编辑,1,【函数编号】: BLK-007-Safe,Item;Move,,,2,0,bool
library/cad_blocks.py,update_block_def_attributes_v7,243,425,&&% 属性块标签编辑,1,【函数编号】: BLK-007,Item;Move,,,7,4,bool
library/cad_blocks.py,attsync_block_instance,429,458,&&% 属性块标签编辑生效,1,【函数编号】: CMD-001,,,,1,1,object
library/cad_blocks.py,attsync_block_instance_base,460,510,&&% 属性块标签编辑生效,1,【函数编号】: CMD-001,SendCommand,,,2,1,bool
library/cad_blocks.py,set_attribute_mtext,515,651,&&% 设置属性块的标签值,1,"set_attribute_mtext(p[0],""图纸规格"",""A0"")",GetAttributes;Update,,,4,2,object
library/cad_blocks.py,get_block_attributes_dict,658,752,&&% 获取属性块标签及标签值,1,获取块参照 block_ref 的所有属性，返回 {标签: 纯文本值} 的字典。,GetAttributes,,,4,0,object
library/cad_blocks.py,separate_entities_by_block_names,755,804,&&% 筛选出指定块名外的对象,1,将实体列表分为两组：,,,,0,0,tuple
